nohup: 忽略输入
[2026-07-28 21:56:34] === 02.run_RNAplfold.py ===
[2026-07-28 21:56:35] Processing 19367 transcripts with 50 workers...
[2026-07-28 21:56:52] Progress: [1000/19367] | Success: 1000 | Skipped: 0
[2026-07-28 21:57:07] Progress: [2000/19367] | Success: 2000 | Skipped: 0
[2026-07-28 21:57:26] Progress: [3000/19367] | Success: 3000 | Skipped: 0
[2026-07-28 21:57:46] Progress: [4000/19367] | Success: 4000 | Skipped: 0
[2026-07-28 21:58:08] Progress: [5000/19367] | Success: 5000 | Skipped: 0
[2026-07-28 21:58:32] Progress: [6000/19367] | Success: 6000 | Skipped: 0
[2026-07-28 21:58:49] Progress: [7000/19367] | Success: 7000 | Skipped: 0
[2026-07-28 21:59:08] Progress: [8000/19367] | Success: 8000 | Skipped: 0
[2026-07-28 21:59:28] Progress: [9000/19367] | Success: 9000 | Skipped: 0
[2026-07-28 21:59:48] Progress: [10000/19367] | Success: 10000 | Skipped: 0
[2026-07-28 22:00:08] Progress: [11000/19367] | Success: 11000 | Skipped: 0
[2026-07-28 22:00:34] Progress: [12000/19367] | Success: 12000 | Skipped: 0
[2026-07-28 22:00:53] Progress: [13000/19367] | Success: 13000 | Skipped: 0
[2026-07-28 22:01:15] Progress: [14000/19367] | Success: 14000 | Skipped: 0
[2026-07-28 22:01:37] Progress: [15000/19367] | Success: 15000 | Skipped: 0
[2026-07-28 22:01:57] Progress: [16000/19367] | Success: 16000 | Skipped: 0
[2026-07-28 22:02:17] Progress: [17000/19367] | Success: 17000 | Skipped: 0
[2026-07-28 22:02:36] Progress: [18000/19367] | Success: 18000 | Skipped: 0
[2026-07-28 22:02:56] Progress: [19000/19367] | Success: 19000 | Skipped: 0
[2026-07-28 22:03:04] Progress: [19367/19367] | Success: 19367 | Skipped: 0
[2026-07-28 22:03:04] === Done ===
